"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
"false","true","https://pbs.twimg.com/profile_banners/1705696730/1638106599","Tue Aug 27 21:52:41 +0000 2013","Hum₳n and sometimes Engineer
C₳rd₳no Lover

Software Engineer and GNU/Linux SysAdmin",,,,,,,,,,,,,,,,,,,,,"0","3446","635","955","false","1705696730","false","false","false","Earth","14577","Gork₳","1289736996596805633","false","https://pbs.twimg.com/profile_images/1539376188593827841/f9s2GwEF_normal.jpg","","74855","https://twitter.com/sw_3n61n33r","user","https://x.com/sw_3n61n33r","sw_3n61n33r",,"Republicans just introduced a resolution to remove Mueller from the Trump-Russia investigation https://t.co/z12nqjk6IS","Fri Nov 03 23:59:27 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/146449043/1407602726","Fri May 21 13:22:29 +0000 2010","Demanding a government that works FOR the people.",,,,,,,,,,,,,,,,,,,,,"0","961","1375","1900","true","146449043","false","false","false","Land O'Lakes, FL","79699","LuvDoingGood",,"false","https://pbs.twimg.com/profile_images/1488562603794345989/lfBfO7Zy_normal.jpg","","420185","https://twitter.com/02Cents0","user","https://x.com/02Cents0","02Cents0",,"JudicialWatch: Noone else is providing oversight of #Mueller’s out-of-control investigation, so now JW is demandin… https://t.co/VInTew0YPs","Fri Nov 03 23:59:11 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/45057981/1659296559","Sat Jun 06 02:03:21 +0000 2009","",,,,,,,,,,,,,,,,,,,,,"0","148918","760","1796","true","45057981","false","false","false","","10520","YODAd",,"false","https://pbs.twimg.com/profile_images/1816469634113257472/nvo8G1xm_normal.jpg","","108913","https://twitter.com/RealSwaggyT","user","https://x.com/RealSwaggyT","RealSwaggyT",,"@MikeMayoral @247_Gamer Damn I hope so. But it does seem Mueller is pursuing his investigation in a proper manner.","Fri Nov 03 23:58:40 +0000 2017"
"true","true","https://pbs.twimg.com/profile_banners/776266149587595264/1473912788","Thu Sep 15 03:47:27 +0000 2016","",,,,,,,,,,,,,,,,,,,,,"0","189485","1828","3319","true","776266149587595264","false","false","false","Sterling, IL","23","Marvin Key",,"false","https://pbs.twimg.com/profile_images/776272617816920064/aICN4y-F_normal.jpg","","159919","https://twitter.com/MarvinKey74","user","https://x.com/MarvinKey74","MarvinKey74",,"@RWPUSA @marymac169 To be honest, it's not going to stop investigation. Mueller and his team is playing chess with these characters","Fri Nov 03 23:58:32 +0000 2017"
"true","false","https://pbs.twimg.com/profile_banners/759245500663132163/1491353124","Sat Jul 30 04:33:28 +0000 2016","#TheResistance #NotMyPresident #Persist Living Blue in a Red State",,,,,,,,,,,,,,,,,,,,,"0","48196","582","4349","true","759245500663132163","false","false","false","","37","PatriotV",,"false","https://pbs.twimg.com/profile_images/1158209434201575424/JvHbdvy8_normal.jpg","","102660","https://twitter.com/V5Patriot","user","https://x.com/V5Patriot","V5Patriot",,"Republicans just introduced a resolution to remove Mueller from the Trump-Russia investigation https://t.co/H0c86E5ozX","Fri Nov 03 23:58:17 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/788203416811995136/1477727299","Tue Oct 18 02:21:53 +0000 2016","We Dare Not Forget That We Are Heirs Of The Revolution. #wikileaks #NeverHillary #TheUP #UnitedPatriots UrbanPatriot@USA.com",,,,,,,,,,,,,,,,"facebook.com/The-Urban-Patr…","https://www.facebook.com/The-Urban-Patriot-1760166780890892/","0","23","https://t.co/87NuSQkEbx","0","142","299","413","false","788203416811995136","false","false","false","United States","7015","The Urban Patriot","792370768990597120","false","https://pbs.twimg.com/profile_images/792271797244694528/MriOnbhM_normal.jpg","","52148","https://twitter.com/TheUrbanPatriot","user","https://x.com/TheUrbanPatriot","TheUrbanPatriot",,"Noone else is providing oversight of #Mueller’s out-of-control investigation, so now JW is demanding accountabilit… https://t.co/0SbPQJZ1Cf","Fri Nov 03 23:58:05 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/4756366051/1720537240","Thu Jan 14 04:36:03 +0000 2016","Wife of VN Combat Medic, Co-Patent Owner, Bout that fishing life🎣, Avid gardener, Reading touches my soul 📚DoomsDayDoobie™️ (DDD ™️) is mine. 🐳",,,,,,,,,,,,,,,,,,,,,"0","71633","881","1179","true","4756366051","false","false","false","United States","5303","Cassandra Shoecraft","1615551893975232514","false","https://pbs.twimg.com/profile_images/1833362758009847808/1htfh8zv_normal.jpg","","36455","https://twitter.com/CShoecraft_1928","user","https://x.com/CShoecraft_1928","CShoecraft_1928",,"@ReignOfApril She may be caught up in Mueller’s investigation. 🤔","Fri Nov 03 23:56:56 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/905870468661428224/1508813065","Thu Sep 07 19:08:44 +0000 2017","🇺🇸 Love God, Family, Country, Animals & Environment. WE R 1 RACE - HUMAN RACE. To ALL vets THANK U! Trumps the reason 4 the treason!",,,,,,,,,,,,,,,,,,,,,"0","41610","1079","1674","false","905870468661428224","false","false","false","USA","16","Seth Powers",,"false","https://pbs.twimg.com/profile_images/922286589572550656/E6mMRkex_normal.jpg","","43840","https://twitter.com/19Gemini58","user","https://x.com/19Gemini58","19Gemini58",,"@TheRynheart @realDonaldTrump @GOP @SpeakerRyan @GOP U WANT MUELLER REMOVED FROM THE INVESTIGATION BC Y'ALL WILL BE IMPLICATED. BETTER HAVE JUST CAUSE.","Fri Nov 03 23:55:54 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/229017220/1720927964","Tue Dec 21 08:53:23 +0000 2010","Political news, commentary and edgy tidbits. 

*Reposts or Retweets are not necessarily endorsements*. But they may be. It all depends. #jimcrackedcrn",,,,,,,,,,,,,,,,,,,,,"0","3787","615","1850","true","229017220","false","false","false","Texas, USA","30345","Jimmy Cracked Corn",,"false","https://pbs.twimg.com/profile_images/1186509346160697345/O6lyxWv3_normal.jpg","","98500","https://twitter.com/jimcrackedcrn","user","https://x.com/jimcrackedcrn","jimcrackedcrn",,"JudicialWatch: Noone else is providing oversight of #Mueller’s out-of-control investigation, so now JW is demandin… https://t.co/qSWSaLfd2Z","Fri Nov 03 23:55:35 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/836798312347013120/1531211086","Wed Mar 01 04:40:39 +0000 2017","Health Education Science Arts Earth 🌏  🌊",,,,,,,,,,,,,,,,,,,,,"0","19251","640","1064","true","836798312347013120","false","false","false","United States","247","We See 👁",,"false","https://pbs.twimg.com/profile_images/1016743447204544512/7zdjUrLw_normal.jpg","","10708","https://twitter.com/WeSeeYouTooo","user","https://x.com/WeSeeYouTooo","WeSeeYouTooo",,"@thehill They must discuss Mueller’s investigation in private(no where on US soil where Mueller is). #TrumpRussiaInvestigation","Fri Nov 03 23:55:13 +0000 2017"
