id,name,role_description,init_att,gender,age,status,traits,interest,racist,education,economic
0,Braxton Watts,"Braxton Watts is a 23-year-old male Tour Guide who is organized, unassertive and hostile, and has interests of learning new skills, learning languages and building arguments.",-0.0314814,male,23,Tour Guide,organized;unassertive;hostile,learning new skills;learning languages;building arguments,other,postgraduate,low
1,Liana Douglas,"Liana Douglas is a 44-year-old male IT Support Specialist who is reclusive, creative and intolerant, and has interests of knitting, new technology and debating topics.",0.1975152,male,44,IT Support Specialist,reclusive;creative;intolerant,knitting;new technology;debating topics,hispanic,college,high
2,Liam Bennett,"Liam Bennett is a 41-year-old male Dancer who is disorganized, insecure and warm, and has interests of trying street food, crafts and empowering others.",-0.3068719,male,41,Dancer,disorganized;insecure;warm,trying street food;crafts;empowering others,asian,high school,low
3,Novah McDonald,"Novah McDonald is a 41-year-old male Travel Agent who is punctual, cooperative and unimaginative, and has interests of time management, building relationships and watching documentaries.",-0.38314,male,41,Travel Agent,punctual;cooperative;unimaginative,time management;building relationships;watching documentaries,other,postgraduate,middle
4,Carter Boyd,"Carter Boyd is a 36-year-old male Security Consultant who is efficient, understanding and steady, and has interests of budgeting, building relationships and yoga.",-0.2718001,male,36,Security Consultant,efficient;understanding;steady,budgeting;building relationships;yoga,other,postgraduate,high
5,Nora Murphy,"Nora Murphy is a 56-year-old male Astronomer who is resilient, disciplined and energetic, and has interests of painting, budgeting and joining clubs.",0.4054306,male,56,Astronomer,resilient;disciplined;energetic,painting;budgeting;joining clubs,hispanic,college,high
6,Sadie Warren,"Sadie Warren is a 53-year-old female Astronomer who is calm, lazy and open-minded, and has interests of yoga, impulse shopping and writing.",-0.5480581,female,53,Astronomer,calm;lazy;open-minded,yoga;impulse shopping;writing,white,high school,low
7,Luke Hunt,"Luke Hunt is a 33-year-old male Tour Guide who is traditional, steady and outgoing, and has interests of joining cultural clubs, fishing and going to parties.",-0.5371984,male,33,Tour Guide,traditional;steady;outgoing,joining cultural clubs;fishing;going to parties,white,college,middle
8,Hannah Reynolds,"Hannah Reynolds is a 33-year-old male Security Consultant who is unconventional, inhibited and insecure, and has interests of exploring, baking and drama.",-0.4449012,male,33,Security Consultant,unconventional;inhibited;insecure,exploring;baking;drama,black,high school,middle
9,Tobias Martinez,"Tobias Martinez is a 41-year-old female Copywriter who is disorganized, traditional and quiet, and has interests of daydreaming, reading biographies and learning languages.",0.0631335,female,41,Copywriter,disorganized;traditional;quiet,daydreaming;reading biographies;learning languages,asian,high school,high
10,Samantha Ramirez,"Samantha Ramirez is a 55-year-old female Product Manager who is prejudiced, rude and unreliable, and has interests of joining cultural clubs, writing critiques and exploring social media.",0.03374,female,55,Product Manager,prejudiced;rude;unreliable,joining cultural clubs;writing critiques;exploring social media,hispanic,college,high
11,Eli Browning,"Eli Browning is a 19-year-old male Copywriter who is traditional, withdrawn and detail-oriented, and has interests of baking traditional recipes, knitting and setting priorities.",-0.4130232,male,19,Copywriter,traditional;withdrawn;detail-oriented,baking traditional recipes;knitting;setting priorities,hispanic,postgraduate,high
12,Weston Grant,"Weston Grant is a 51-year-old female Detective who is moody, traditional and generous, and has interests of aromatherapy, writing letters and empowering others.",-0.1963401,female,51,Detective,moody;traditional;generous,aromatherapy;writing letters;empowering others,white,college,high
13,Carter Hawkins,"Carter Hawkins is a 65-year-old female Physical Therapist who is argumentative, volatile and prejudiced, and has interests of building arguments, aromatherapy and reading biographies.",-0.35715,female,65,Physical Therapist,argumentative;volatile;prejudiced,building arguments;aromatherapy;reading biographies,hispanic,high school,low
14,Cora O'Brien,"Cora O'Brien is a 28-year-old female School Counselor who is moody, argumentative and talkative, and has interests of adrenaline sports, strategy games and running.",0.4014559,female,28,School Counselor,moody;argumentative;talkative,adrenaline sports;strategy games;running,white,postgraduate,high
15,Adam Frazier,"Adam Frazier is a 40-year-old female Pharmacist who is sociable, volatile and original, and has interests of participating in group activities, video games and new cuisines.",0.0827267,female,40,Pharmacist,sociable;volatile;original,participating in group activities;video games;new cuisines,other,postgraduate,middle
16,Raegan Romero,"Raegan Romero is a 38-year-old female Sales Executive who is unsympathetic, inhibited and adventurous, and has interests of writing opinion pieces, gardening and virtual reality.",-0.2002886,female,38,Sales Executive,unsympathetic;inhibited;adventurous,writing opinion pieces;gardening;virtual reality,white,postgraduate,low
17,Natalie Jordan,"Natalie Jordan is a 43-year-old male Editor who is open-minded, disorganized and composed, and has interests of inventing, procrastinating projects and birdwatching.",-0.3066681,male,43,Editor,open-minded;disorganized;composed,inventing;procrastinating projects;birdwatching,other,high school,middle
18,Nolan Holt,"Nolan Holt is a 27-year-old female Fleet Manager who is prejudiced, selfish and confident, and has interests of traditions, dissecting movies and books and cooking.",-0.0703389,female,27,Fleet Manager,prejudiced;selfish;confident,traditions;dissecting movies and books;cooking,other,postgraduate,high
19,Leo Evans,"Leo Evans is a 41-year-old female Cloud Engineer who is relaxed, careless and warm, and has interests of listening to music, casual games and counseling.",0.2534145,female,41,Cloud Engineer,relaxed;careless;warm,listening to music;casual games;counseling,black,postgraduate,high
20,Zara Elliott,"Zara Elliott is a 45-year-old female Police Officer who is critical, prejudiced and reliable, and has interests of strategy games, crafting with natural materials and researching.",0.0757379,female,45,Police Officer,critical;prejudiced;reliable,strategy games;crafting with natural materials;researching,black,college,low
21,Tate Duncan,"Tate Duncan is a 40-year-old male Bartender who is confident, stubborn and relaxed, and has interests of meeting new people, chess strategies and listening to music.",-0.1464754,male,40,Bartender,confident;stubborn;relaxed,meeting new people;chess strategies;listening to music,other,postgraduate,high
22,Leah Schmidt,"Leah Schmidt is a 39-year-old male Housekeeping Supervisor who is rigid, insecure and kind, and has interests of visiting historical landmarks, adrenaline sports and attending community meetings.",-0.3915552,male,39,Housekeeping Supervisor,rigid;insecure;kind,visiting historical landmarks;adrenaline sports;attending community meetings,hispanic,college,middle
